#  SMMC data for 162Dy from
#
#  Y. Alhassid, G. F. Bertsch, C. N. Gilbreth and H. Nakada
#  Benchmarking mean-field approximations to level densities,
#  Phys. Rev. C 93, 044320 (2016).
# 
#  E_X (MeV)       rho (1/MeV)     drho (1/MeV)
   1.186327e+02    6.248652e+01    1.663846e-03
   1.013470e+02    6.090871e+01    5.069379e-03
   8.581928e+01    5.855051e+01    9.474759e-03
   7.269704e+01    5.576895e+01    1.466012e-02
   6.177701e+01    5.279696e+01    2.036715e-02
   5.297320e+01    4.987945e+01    2.685127e-02
   4.587933e+01    4.710570e+01    3.319965e-02
   4.016212e+01    4.453174e+01    4.106652e-02
   3.552204e+01    4.216781e+01    5.018647e-02
   3.169649e+01    3.998945e+01    6.031983e-02
   2.848449e+01    3.792937e+01    7.004368e-02
   2.527569e+01    3.566045e+01    7.812588e-02
   2.253557e+01    3.363243e+01    8.792069e-02
   2.053469e+01    3.203444e+01    9.730672e-02
   1.856542e+01    3.028641e+01    1.031197e-01
   1.684312e+01    2.861702e+01    1.088854e-01
   1.487029e+01    2.664585e+01    1.147262e-01
   1.358065e+01    2.536248e+01    1.210725e-01
   1.234464e+01    2.399968e+01    1.289804e-01
   1.136648e+01    2.285624e+01    1.317647e-01
   1.033902e+01    2.156160e+01    1.359998e-01
   9.445680e+00    2.042703e+01    1.456297e-01
   8.654220e+00    1.932812e+01    1.456941e-01
   7.809210e+00    1.814478e+01    1.504188e-01
   6.443080e+00    1.616809e+01    1.584252e-01
   5.679670e+00    1.500190e+01    1.748057e-01
   4.774930e+00    1.339229e+01    1.920059e-01
   4.134090e+00    1.227008e+01    2.500541e-01
   3.540090e+00    1.110473e+01    2.309782e-01
   3.033440e+00    9.994348e+00    2.493853e-01
   2.436890e+00    8.750838e+00    2.805998e-01
   2.202020e+00    8.273070e+00    3.046332e-01
   1.741820e+00    7.015765e+00    3.147451e-01
   1.394180e+00    6.176294e+00    3.596523e-01
   1.071940e+00    5.520777e+00    4.289870e-01
   9.919100e-01    5.917521e+00    6.390593e-01
   8.950100e-01    5.707416e+00    5.260662e-01
   8.006600e-01    5.075651e+00    2.174581e-01
   5.975500e-01    4.624591e+00    2.303083e-01
   5.943900e-01    4.810419e+00    1.997866e-01
   2.786800e-01    3.499212e+00    2.740825e-01
   1.620100e-01    3.535278e+00    4.087399e-01
   1.605000e-01    3.888535e+00    6.645634e-01
   1.070700e-01    3.561022e+00    5.927341e-01
