# Simple level density calculation from lvl2.py
# Z_X/Z =  1.0000000E+00 at beta=0
#       beta                E        ln(rho)       dln(rho)              S             dS              C             dC
    0.062500   1.18632740E+02   6.248652E+01   1.663846E-03   6.623878E+01   1.614685E-03   1.129141E+00   9.066260E-04
    0.125000   1.01347050E+02   6.090871E+01   5.069379E-03   6.461824E+01   5.014739E-03   4.146713E+00   6.156099E-03
    0.187500   8.58192800E+01   5.855051E+01   9.474759E-03   6.219203E+01   9.407425E-03   8.143384E+00   1.836456E-02
    0.250000   7.26970400E+01   5.576895E+01   1.466012E-02   5.932154E+01   1.457325E-02   1.211818E+01   3.862305E-02
    0.312500   6.17770100E+01   5.279696E+01   2.036715E-02   5.625028E+01   2.024717E-02   1.552514E+01   6.854089E-02
    0.375000   5.29732000E+01   4.987945E+01   2.685127E-02   5.322397E+01   2.668469E-02   1.798443E+01   1.074114E-01
    0.437500   4.58793300E+01   4.710570E+01   3.319965E-02   5.034209E+01   3.295074E-02   1.971832E+01   1.600237E-01
    0.500000   4.01621200E+01   4.453174E+01   4.106652E-02   4.766215E+01   4.071044E-02   2.083491E+01   2.248578E-01
    0.562500   3.55220400E+01   4.216781E+01   5.018647E-02   4.519710E+01   4.967263E-02   2.154155E+01   3.086121E-01
    0.625000   3.16964900E+01   3.998945E+01   6.031983E-02   4.292568E+01   5.960605E-02   2.207776E+01   4.085275E-01
    0.687500   2.84844900E+01   3.792937E+01   7.004368E-02   4.081781E+01   6.922114E-02   2.427896E+01   5.197082E-01
    0.750000   2.52756900E+01   3.566045E+01   7.812588E-02   3.851148E+01   7.718781E-02   2.681117E+01   6.472444E-01
    0.812500   2.25355700E+01   3.363243E+01   8.792069E-02   3.637076E+01   8.654649E-02   2.511639E+01   7.778015E-01
    0.875000   2.05346900E+01   3.203444E+01   9.730672E-02   3.468252E+01   9.548165E-02   2.431796E+01   9.122994E-01
    0.937500   1.85654200E+01   3.028641E+01   1.031197E-01   3.289787E+01   1.010901E-01   2.594475E+01   1.056363E+00
    1.000000   1.68431200E+01   2.861702E+01   1.088854E-01   3.122939E+01   1.070167E-01   2.957338E+01   1.188046E+00
    1.062500   1.48702900E+01   2.664585E+01   1.147262E-01   2.919491E+01   1.124860E-01   2.941457E+01   1.327244E+00
    1.125000   1.35806500E+01   2.536248E+01   1.210725E-01   2.778437E+01   1.175388E-01   2.557105E+01   1.485033E+00
